#{"t_start": 1785248618.500788, "env_id": "CartPole-v1"}
r,l,t
10.0,10,3.239532
9.0,9,3.24175
11.0,11,3.243551
9.0,9,3.245723
10.0,10,3.247464
9.0,9,3.249074
9.0,9,3.251166
11.0,11,3.253025
10.0,10,3.255541
10.0,10,3.257277
10.0,10,3.259603
9.0,9,3.261285
9.0,9,3.263006
10.0,10,3.265275
9.0,9,3.266878
11.0,11,3.269222
10.0,10,3.271041
9.0,9,3.273164
10.0,10,3.274925
10.0,10,3.277216
9.0,9,3.278864
10.0,10,3.280564
9.0,9,3.2827
11.0,11,3.284521
9.0,9,3.28683
11.0,11,3.288669
11.0,11,3.290935
10.0,10,3.293069
9.0,9,3.29477
11.0,11,3.297053
10.0,10,3.298811
11.0,11,3.301018
9.0,9,3.302743
10.0,10,3.305008
9.0,9,3.306656
11.0,11,3.308897
10.0,10,3.310696
8.0,8,3.312368
10.0,10,3.314592
9.0,9,3.316466
10.0,10,3.318215
10.0,10,3.320572
10.0,10,3.322338
10.0,10,3.324539
9.0,9,3.326223
9.0,9,3.327884
9.0,9,3.330075
10.0,10,3.331717
10.0,10,3.3339
9.0,9,3.335534
11.0,11,3.337922
10.0,10,3.339743
9.0,9,3.341419
10.0,10,3.343641
9.0,9,3.345286
10.0,10,3.347573
12.0,12,3.349939
10.0,10,3.351675
9.0,9,3.353429
9.0,9,3.355866
9.0,9,3.357504
9.0,9,3.359191
11.0,11,3.361554
9.0,9,3.363254
9.0,9,3.36491
12.0,12,3.367188
11.0,11,3.369935
10.0,10,3.372286
9.0,9,3.373984
12.0,12,3.376342
10.0,10,3.378053
10.0,10,3.380286
8.0,8,3.381866
10.0,10,3.383809
9.0,9,3.3862
9.0,9,3.388143
9.0,9,3.389868
10.0,10,3.392096
8.0,8,3.393623
10.0,10,3.395408
10.0,10,3.397695
10.0,10,3.399457
10.0,10,3.401675
10.0,10,3.403552
10.0,10,3.406017
15.0,15,3.408562
9.0,9,3.410656
10.0,10,3.412514
9.0,9,3.414209
10.0,10,3.416475
9.0,9,3.418113
12.0,12,3.420574
9.0,9,3.422242
10.0,10,3.424501
12.0,12,3.426921
9.0,9,3.428568
10.0,10,3.430783
8.0,8,3.432343
10.0,10,3.434099
10.0,10,3.436368
10.0,10,3.438137
13.0,13,3.440586
10.0,10,3.442764
9.0,9,3.444474
10.0,10,3.446737
10.0,10,3.448479
10.0,10,3.450686
10.0,10,3.452473
8.0,8,3.454182
9.0,9,3.456064
10.0,10,3.458321
8.0,8,3.460104
8.0,8,3.461829
9.0,9,3.463493
10.0,10,3.465715
11.0,11,3.467558
10.0,10,3.469841
9.0,9,3.471552
10.0,10,3.473805
10.0,10,3.476756
10.0,10,3.478997
9.0,9,3.48098
10.0,10,3.482725
9.0,9,3.48489
11.0,11,3.48715
12.0,12,3.489525
10.0,10,3.491784
9.0,9,3.493412
10.0,10,3.49572
10.0,10,3.49757
9.0,9,3.499236
9.0,9,3.501406
9.0,9,3.503152
8.0,8,3.504796
9.0,9,3.506438
10.0,10,3.508715
9.0,9,3.510353
9.0,9,3.512026
10.0,10,3.514314
10.0,10,3.516088
10.0,10,3.518367
9.0,9,3.520136
8.0,8,3.521792
11.0,11,3.5241
9.0,9,3.525803
9.0,9,3.527431
9.0,9,3.529177
10.0,10,3.531584
9.0,9,3.533216
10.0,10,3.53545
8.0,8,3.53721
11.0,11,3.538989
9.0,9,3.541145
12.0,12,3.543416
9.0,9,3.545046
9.0,9,3.546816
9.0,9,3.5485
8.0,8,3.55007
10.0,10,3.552267
9.0,9,3.554107
10.0,10,3.556664
10.0,10,3.558482
10.0,10,3.560848
10.0,10,3.562663
9.0,9,3.564443
9.0,9,3.566702
10.0,10,3.568524
11.0,11,3.571105
10.0,10,3.572932
10.0,10,3.578986
10.0,10,3.580877
11.0,11,3.583323
10.0,10,3.585674
9.0,9,3.587537
9.0,9,3.5893
11.0,11,3.591623
9.0,9,3.593389
10.0,10,3.595604
9.0,9,3.597276
9.0,9,3.599039
9.0,9,3.600908
10.0,10,3.603333
9.0,9,3.605345
8.0,8,3.607082
10.0,10,3.609402
9.0,9,3.611262
9.0,9,3.612978
8.0,8,3.614749
9.0,9,3.616428
11.0,11,3.618762
10.0,10,3.62133
10.0,10,3.623139
12.0,12,3.625558
8.0,8,3.627262
9.0,9,3.628968
9.0,9,3.631163
9.0,9,3.632944
9.0,9,3.634692
9.0,9,3.636441
9.0,9,3.639109
10.0,10,3.640855
8.0,8,3.642625
9.0,9,3.644296
12.0,12,3.646658
10.0,10,3.648803
9.0,9,3.650628
10.0,10,3.652991
10.0,10,3.65511
9.0,9,3.657054
10.0,10,3.659439
9.0,9,3.661133
11.0,11,3.663593
10.0,10,3.665298
11.0,11,3.667705
9.0,9,3.669447
8.0,8,3.671281
9.0,9,3.684634
9.0,9,3.698014
11.0,11,3.709172
9.0,9,3.71118
12.0,12,3.713814
11.0,11,3.716418
10.0,10,3.718183
10.0,10,3.720632
11.0,11,3.722423
10.0,10,3.72479
8.0,8,3.726428
10.0,10,3.728272
10.0,10,3.730612
9.0,9,3.732349
9.0,9,3.733932
