#{"t_start": 1787608358.6492941, "env_id": "CartPole-v1"}
r,l,t
10.0,10,3.193033
27.0,27,3.196536
24.0,24,3.199882
10.0,10,3.201532
16.0,16,3.203727
22.0,22,3.206522
54.0,54,3.214237
25.0,25,3.217665
14.0,14,3.219759
35.0,35,3.22416
18.0,18,3.227031
20.0,20,3.229745
15.0,15,3.231869
47.0,47,3.23824
24.0,24,3.241572
14.0,14,3.243711
19.0,19,3.246357
60.0,60,3.254474
14.0,14,3.256303
28.0,28,3.260137
20.0,20,3.262957
23.0,23,3.266335
22.0,22,3.26923
12.0,12,3.270864
14.0,14,3.273001
22.0,22,3.275822
32.0,32,3.280062
28.0,28,3.28393
16.0,16,3.286176
20.0,20,3.288916
18.0,18,3.291559
15.0,15,3.293873
10.0,10,3.295085
17.0,17,3.297354
11.0,11,3.299191
9.0,9,3.300398
17.0,17,3.307091
19.0,19,3.309483
29.0,29,3.314805
13.0,13,3.317046
22.0,22,3.320287
12.0,12,3.322069
20.0,20,3.325026
41.0,41,3.331103
19.0,19,3.33362
11.0,11,3.335427
20.0,20,3.338387
13.0,13,3.340201
10.0,10,3.341863
33.0,33,3.34657
17.0,17,3.348804
15.0,15,3.351134
26.0,26,3.354909
14.0,14,3.356715
18.0,18,3.359411
26.0,26,3.362876
24.0,24,3.366302
9.0,9,3.367492
15.0,15,3.369711
59.0,59,3.378104
20.0,20,3.380894
24.0,24,3.384339
17.0,17,3.386556
14.0,14,3.388669
12.0,12,3.390383
18.0,18,3.392745
22.0,22,3.396084
10.0,10,3.397315
11.0,11,3.398916
15.0,15,3.401242
11.0,11,3.402608
39.0,39,3.408022
12.0,12,3.409756
16.0,16,3.411919
19.0,19,3.414801
9.0,9,3.415943
12.0,12,3.417716
24.0,24,3.421103
14.0,14,3.423228
22.0,22,3.426186
20.0,20,3.429117
10.0,10,3.430792
12.0,12,3.432515
15.0,15,3.435011
17.0,17,3.437809
13.0,13,3.439578
13.0,13,3.441327
