#{"t_start": 1787584686.092246, "env_id": "CartPole-v1"}
r,l,t
9.0,9,2.413003
11.0,11,2.415078
9.0,9,2.416594
9.0,9,2.418129
8.0,8,2.419537
8.0,8,2.420976
10.0,10,2.42316
11.0,11,2.424907
10.0,10,2.427037
9.0,9,2.42858
9.0,9,2.430159
10.0,10,2.432183
9.0,9,2.433769
10.0,10,2.435795
10.0,10,2.437373
10.0,10,2.439497
9.0,9,2.441136
12.0,12,2.443372
9.0,9,2.444908
10.0,10,2.446948
8.0,8,2.448419
10.0,10,2.450073
9.0,9,2.451666
10.0,10,2.453754
10.0,10,2.455358
9.0,9,2.457506
9.0,9,2.459147
9.0,9,2.460774
11.0,11,2.462887
10.0,10,2.464501
12.0,12,2.466635
9.0,9,2.468684
9.0,9,2.47025
10.0,10,2.471862
9.0,9,2.473918
10.0,10,2.475632
9.0,9,2.477171
11.0,11,2.479238
9.0,9,2.480754
9.0,9,2.482699
12.0,12,2.484893
10.0,10,2.486487
11.0,11,2.488565
9.0,9,2.490187
9.0,9,2.49208
9.0,9,2.494117
10.0,10,2.495633
10.0,10,2.497724
12.0,12,2.499876
9.0,9,2.501405
10.0,10,2.502941
9.0,9,2.504933
8.0,8,2.506512
8.0,8,2.508039
9.0,9,2.509549
10.0,10,2.511067
10.0,10,2.513053
10.0,10,2.514611
9.0,9,2.516581
9.0,9,2.518061
9.0,9,2.519578
11.0,11,2.521675
10.0,10,2.523415
10.0,10,2.525523
10.0,10,2.527091
10.0,10,2.529117
10.0,10,2.530666
10.0,10,2.532781
8.0,8,2.53429
10.0,10,2.535917
11.0,11,2.537957
8.0,8,2.539489
9.0,9,2.541183
10.0,10,2.543285
9.0,9,2.544879
10.0,10,2.546932
10.0,10,2.548543
9.0,9,2.550151
9.0,9,2.552108
9.0,9,2.5537
9.0,9,2.555209
9.0,9,2.556903
9.0,9,2.558874
10.0,10,2.560504
9.0,9,2.562023
9.0,9,2.564085
10.0,10,2.565634
10.0,10,2.567674
9.0,9,2.569147
9.0,9,2.570631
10.0,10,2.572754
8.0,8,2.574356
